TweetTime,Tweet,Location,FollowersCount,FriendsCount,ListedCount,FavouritesCount,StatusesCount,UserCreatedAt,Lang
Wed Sep 17 22:59:05 +0000 2014,"b""RT @CBCAlerts: US President #BarackObama says he hopes #UK remains 'strong, robust, united.' Independence vote takes place tomorrow in #Sco\\u2026""","Toronto, Ontario",4879,742,80,8949,11964,Tue Jun 30 03:54:29 +0000 2009,en
Wed Sep 17 22:59:04 +0000 2014,"b""If #Scotland votes YES tomorrow (Thursday) @David_Cameron will be the leader who lost the union ! let's make it REAL ! #ScotlandIndependence""",Turkey-Israel,1235,71,214,274,101191,Thu Sep 17 16:45:16 +0000 2009,en
Wed Sep 17 22:59:03 +0000 2014,b'RT @woodenfishjim: #BDS #Boycottisrael #Scotland http://t.co/I6P6T7YgtX',,641,1072,16,534,15404,Fri Jul 25 23:25:22 +0000 2014,en
Wed Sep 17 22:59:03 +0000 2014,"b'Washington Post: If #Scotland votes to secede, it joins very rare company http://t.co/pP0eRnW1o4 http://t.co/FdvCOL2fRT'","Atlanta, GA",402,988,20,8934,49783,Sun Feb 19 22:54:26 +0000 2012,en
Wed Sep 17 22:59:02 +0000 2014,"b""RT @Sara__Firth: 'And I'll be in #Scotland afore ye;'.... Crowd in #Glasgow roars along to\\nBonnie Banks O' Loch Lomond #Indyref http://t.co\\u2026""","Glasgow, Scotland",6549,5454,93,192383,228554,Mon Jul 09 13:21:28 +0000 2012,en
Wed Sep 17 22:59:02 +0000 2014,b'#ScotlandDecides good luck #Scotland no matter which you vote hope you make the right choice to stay or go. #scottishindependence',"Lincoln, UK",285,210,55,796,2300,Wed Jan 29 15:36:27 +0000 2014,en
Wed Sep 17 22:59:00 +0000 2014,b'To the Scottish side of my family ... I hope you make the right choice #ScotlandDecides #Scotland #UK',"Doncaster, England",554,445,3,14658,14635,Wed Apr 20 09:58:30 +0000 2011,en
Wed Sep 17 22:58:57 +0000 2014,b'RT @HistoryNeedsYou: I trust the people of #Scotland to make the right decision on #indyref because they are the real experts\\n\\n#democracy h\\u2026',"Little Rock, AR",2542,2547,88,2556,35838,Tue May 13 15:20:26 +0000 2008,en
Wed Sep 17 22:58:56 +0000 2014,b'#Bayes says \\u201cdon\\u2019t worry\\u201d about #Scotland\\u2019s Referendum http://t.co/dM16mTlTjs',"Málaga, España",527,487,81,391,1679,Tue Jul 28 11:31:01 +0000 2009,es
Wed Sep 17 22:58:54 +0000 2014,"b""#Scotland I hope you're past the point where you believe the politicians' promises? You can't trust Cameron! #VoteYes""","Barcelone, Catalogne",1295,1163,66,54606,45174,Mon May 03 02:22:14 +0000 2010,fr
Wed Sep 17 22:58:54 +0000 2014,b'An Independent #Scotland Powered by #bitcoin? http://t.co/Yvk8mHA4t0',Matter Doesn't Matter,51180,12679,7425,2506,852316,Tue Jan 07 23:52:46 +0000 2014,en
Wed Sep 17 22:58:53 +0000 2014,b'RT @garethicke: Goodnight all. \\n\\nMassive day in history tomorrow.\\n\\nI sincerely hope my friends in #Scotland get the result they want.',liverpool.,6171,5598,64,62746,93931,Thu Nov 04 09:50:57 +0000 2010,en
Wed Sep 17 22:58:53 +0000 2014,b'RT @SAMAATV: Future of Union Jack in doubt as #Scotland votes http://t.co/sXb2UE5MNL http://t.co/ZXyHqBKcWC',"Karachi, Pakistan",770,2163,21,24869,65254,Wed Nov 07 20:44:25 +0000 2012,en
Wed Sep 17 22:58:53 +0000 2014,b'RT @disinfo: How the #media shafted the people of #Scotland http://t.co/HM5hFq3daD #news #independence #representation',North East of England,274,1240,19,12973,22988,Mon Mar 09 22:59:44 +0000 2009,en
Wed Sep 17 22:58:51 +0000 2014,"b""I'm away to dream and wish it.  I'll do it in the morning.\\n#Scotland #HopeOverFear #VoteYes http://t.co/btgkU1wW2G""",Glasgow,856,977,25,15496,9899,Fri May 30 05:08:11 +0000 2014,en-gb
Wed Sep 17 22:58:50 +0000 2014,b'RT @KatieEwen123: Nobody here again tonight. Absolutely hee haw happening... \\U0001f602\\U0001f602\\U0001f602 #CannyMove #VoteYes #indyref #yes #Scotland http://t.co/dC\\u2026',"Scotland, United Kingdom",353,1001,8,3131,32467,Tue Jan 05 22:39:10 +0000 2010,en
Wed Sep 17 22:58:50 +0000 2014,b'RT @VanDamCNN: Voting opens at 7am in #Scotland as residents decide on their independence. No unusual weather forecast @CNN #Glasgow http:/\\u2026',Oklahoma City area,929,325,74,16710,220178,Sun Jul 05 19:28:32 +0000 2009,en
Wed Sep 17 22:58:48 +0000 2014,"b""Please vote what is best for our country #scotland for our future generations. Don't allow England to\\u2026 http://t.co/l1zyZbj0wq""",my location is top secret,45,117,0,87,935,Tue Sep 11 22:27:04 +0000 2012,en
Wed Sep 17 22:58:47 +0000 2014,"b""RT @Jane_Samuels: If you only read 1 article on #Scotland's vote: Not about Braveheart, kilts, tribal nationalism. It\\u2019s about democracy htt\\u2026""",Cumbria UK,1835,5002,94,12317,21363,Mon Mar 29 13:27:44 +0000 2010,en
Wed Sep 17 22:58:46 +0000 2014,b'RT @evepaludan: #WITCH WAY OUT (#3) Elle investigates #spooky archaeology dig. Got #goblins? #witches \\u25bahttp://t.co/emp2ac2aIR\\u25c4 #paranormal \\u2026',Smoky Mountains,21028,21899,1253,18921,412771,Tue Jul 02 05:55:37 +0000 2013,en
Wed Sep 17 22:58:46 +0000 2014,"b""RT @danni_paterson: Guys, this has been amazing. No matter what happens tomorrow it's been brilliant meeting so many forward thinking peopl\\u2026""",,100,57,10,31,2811,Mon Dec 10 01:06:29 +0000 2012,en-gb
Wed Sep 17 22:58:45 +0000 2014,b'RT @evepaludan: #99cents WITCHY BUSINESS http://t.co/qv3fflhagK\\xa0 #witches #vampires #mystery #romance #paranormal #Scotland #UK...',Smoky Mountains,21028,21899,1253,18921,412771,Tue Jul 02 05:55:37 +0000 2013,en
Wed Sep 17 22:58:44 +0000 2014,"b""RT @ScottieMcClue: If You Are A #NoVoter or #undecided #Scotland Don't Panic - It's Not Too Late For You To Cross The Floor and #VoteYes #i\\u2026""","Aberdeen, Scotland",494,727,8,528,15844,Wed Nov 23 14:52:16 +0000 2011,en
Wed Sep 17 22:58:44 +0000 2014,"b""@Scott31459 @jamesak47 About the massive inequality in #England. #Scotland shouldn't suffer for crappy WM decisions and mistakes.""","British Columbia, Canada",2532,3592,111,10187,52077,Sun Sep 09 21:22:16 +0000 2012,en
Wed Sep 17 22:58:42 +0000 2014,"b'Hey #Scotland whatever you decide, I hope it is the right decision. #ScotlandDecides #ScottishReferendum'","Cambridge,ON,Canada",130,732,6,1461,1230,Tue Apr 14 19:29:21 +0000 2009,en
Wed Sep 17 22:58:40 +0000 2014,b'#Scotland could lead the way towards a federal #UK by Shirley Williams http://t.co/QERaF4VQs7 via @guardian #indyref',"London, UK",76,521,3,5300,1560,Mon Jan 20 08:24:55 +0000 2014,en
Wed Sep 17 22:58:37 +0000 2014,b'RT @HistoryNeedsYou: I trust the people of #Scotland to make the right decision on #indyref because they are the real experts\\n\\n#democracy h\\u2026',Achill island. Co mayo,5219,5654,108,6486,65940,Thu Feb 12 11:11:02 +0000 2009,en
Wed Sep 17 22:58:37 +0000 2014,"b""In #Scotland, \\u2018Yes\\u2019 campaign wins if vote is 'No' but close, England will bribe it to stay http://t.co/DzwrarX9Dl""","Canada, US, Europe",272420,145073,1305,71,15228,Fri Jul 17 17:24:46 +0000 2009,en
Wed Sep 17 22:58:37 +0000 2014,b'Cuarto portad\\xf3n @thecourieruk con mensaje en el fald\\xf3n\\n#Scotland #UK http://t.co/7dbtENasf5',,5323,1915,249,2386,13888,Wed Nov 02 20:51:42 +0000 2011,es
Wed Sep 17 22:58:34 +0000 2014,b'Say #Yes so Sean Connery can die knowing #Scotland is Free! #indyref \\n\\n#ScotlandDecides #YesScotland #YesBecause',,66,93,1,796,1145,Sun Aug 04 07:20:58 +0000 2013,en
Wed Sep 17 22:58:32 +0000 2014,b'RT @HistoryNeedsYou: I trust the people of #Scotland to make the right decision on #indyref because they are the real experts\\n\\n#democracy h\\u2026',Nigeria,3670,1716,12,2680,79774,Fri Mar 11 16:53:41 +0000 2011,en
Wed Sep 17 22:58:32 +0000 2014,b'RT @RT_com: Day before #Scotland goes to the polls in #Indyref  http://t.co/oFpEd9BCLM http://t.co/Waly5Himgz',,702,1005,103,33911,76929,Fri Dec 25 21:57:38 +0000 2009,en
Wed Sep 17 22:58:31 +0000 2014,"b""'But pleasures are like poppies spread, \\nYou seize the flow'r, its bloom is shed' - Rabbie Burns #scotland #indyref""","Sydney, Australia",1070,1574,43,4951,5974,Tue Jan 26 23:03:15 +0000 2010,en
Wed Sep 17 22:58:28 +0000 2014,"b""RT @Sara__Firth: 'And I'll be in #Scotland afore ye;'.... Crowd in #Glasgow roars along to\\nBonnie Banks O' Loch Lomond #Indyref http://t.co\\u2026""",,832,1089,13,1581,19107,Mon Jun 08 12:28:19 +0000 2009,en
Wed Sep 17 22:58:27 +0000 2014,"b""I really hope #Scotland moves forward w/separation. They are a strong country &amp; I think it's about time the dying #Empire got a pink slip""","Virginia, USA",453,1159,20,7724,6549,Fri Jan 18 11:13:03 +0000 2013,en
Wed Sep 17 22:58:24 +0000 2014,b'RT @SAMAATV: Future of Union Jack in doubt as #Scotland votes http://t.co/sXb2UE5MNL http://t.co/ZXyHqBKcWC',,62,38,0,0,10410,Sat Jul 12 02:02:31 +0000 2014,en
Wed Sep 17 22:58:23 +0000 2014,"b'RT @HistoryNeedsYou: Skye, pretty as a painting, in glorious #Scotland http://t.co/xkBf4tfbrK'",Newfoundland,863,2560,33,3717,14753,Thu Apr 02 17:38:05 +0000 2009,en
Wed Sep 17 22:58:23 +0000 2014,"b""Why exactly is #Scotland so left-wing politically? I don't get it. #specialreport""",,2248,2575,44,10726,38469,Tue Sep 18 02:41:01 +0000 2012,en
Wed Sep 17 22:58:18 +0000 2014,b'RT @KatieEwen123: My Twitter reach in the last week or two has just hit 1 million!! \\U0001f633\\U0001f633\\U0001f633 I hope they are all voting YES!! \\U0001f602\\U0001f602 #VoteYes #indyr\\u2026',,205,184,6,3771,8074,Fri Jul 24 08:34:03 +0000 2009,en
Wed Sep 17 22:58:10 +0000 2014,"b'#Scotland, yes!\\nhttp://t.co/cSRj8rUcA0'",EU-D-HH,231,574,38,3233,18991,Mon May 03 11:00:04 +0000 2010,de
Wed Sep 17 22:58:04 +0000 2014,"b'No fear, we can do this \\u2714\\ufe0f #VoteYes #Scotland http://t.co/nI9PwQ7Rv5'",Edinburgh,254,477,7,13079,5732,Tue Sep 20 18:28:40 +0000 2011,en
Wed Sep 17 22:58:04 +0000 2014,b'People in #Scotland will vote tomorrow whether the country should stay in the #UK or become an independent nation. #YES',"Morristown, NJ ",14132,3903,584,1633,44924,Sat Mar 10 22:11:25 +0000 2007,en
Wed Sep 17 22:58:02 +0000 2014,b'http://t.co/39MAeLx8ox. Glad to see some good news and long may it continue #jobs #scotland #bbc',,46,134,0,145,159,Thu Jan 24 13:24:21 +0000 2013,en
Wed Sep 17 22:58:01 +0000 2014,b'RT @AlllyMango: #Referendum: Study finds those with more info are more likely to vote #yes http://t.co/EmEUeCKWN5 #indyref #scotland',USA mostly,74,433,5,1317,2794,Wed Jan 08 04:51:47 +0000 2014,en
Wed Sep 17 22:57:58 +0000 2014,b'RT @RT_com: Day before #Scotland goes to the polls in #Indyref  http://t.co/oFpEd9BCLM http://t.co/Waly5Himgz',"Oslo, Norway",6826,5621,235,123324,122018,Sun Sep 19 11:22:30 +0000 2010,en
Wed Sep 17 22:57:58 +0000 2014,"b""RT @glenoglaza1: Come On #Scotland Don't reduce our country #VoteNo #UK We need to stay stronger together. What unites us is far greater th\\u2026""",United Kingdom,1131,883,29,74054,74271,Wed Nov 24 23:21:52 +0000 2010,en
Wed Sep 17 22:57:57 +0000 2014,"b'Whatever your vote, this is funny! Gotta love the Leithers! #IndyRef #ScotlandDecides #Scotland #scotnight #Bams http://t.co/Okl34Iofib'",Edinburgh,994,1632,19,2851,2923,Fri Jun 26 14:34:20 +0000 2009,en
Wed Sep 17 22:57:56 +0000 2014,b'RT @zucenan: 9/18/2014. It\\xb4s time for scottish to decide their own future. Good luck! #scotland #democracy',"Getaria, Euskal Herria",364,437,8,2004,2470,Tue May 10 18:26:47 +0000 2011,eu
Wed Sep 17 22:57:55 +0000 2014,b'#choice #change #hope #future #indyref #ScotlandDecides #Scotland #referendum http://t.co/TEKC642Cvb',"Glasgow, Scotland",187,351,0,1222,1749,Sun Sep 23 21:48:10 +0000 2012,en
Wed Sep 17 22:57:54 +0000 2014,"b""RT @adamjones416: RT this message if you're Welsh and support a #Yes vote for #Scotland tomorrow! You can do it! We're behind you all the w\\u2026""",Here - Why where are you?,398,1007,4,2258,5357,Mon Nov 03 14:04:17 +0000 2008,en
Wed Sep 17 22:57:54 +0000 2014,b'RT @TheWeeSessions: #voteyes #indyref #scotland #yesbecause @citizentommy http://t.co/RYhteA3QMw',,373,435,31,8184,13051,Thu May 17 20:55:32 +0000 2012,en
Wed Sep 17 22:57:47 +0000 2014,b'RT @RT_com: Day before #Scotland goes to the polls in #Indyref  http://t.co/oFpEd9BCLM http://t.co/Waly5Himgz',南関東の右の方,153,218,20,1448,19655,Sun Feb 07 14:29:46 +0000 2010,ja
Wed Sep 17 22:57:43 +0000 2014,"b'I say 5. RT @Cameron_Gray: Agreed, but 8 - RT @LouiseMensch: My prediction: NO, comfortably in the end. 6 point lead. #indyref #Scotland'","City of Potholes & Vomit, Indiana",8919,5788,343,23379,228341,Tue Jun 09 21:20:28 +0000 2009,en
Wed Sep 17 22:57:43 +0000 2014,"b""RT @LIFE: 'Scotland: Vintage Photos From a Unique Northern Land': http://t.co/0u7BBg8HJr #Scotland http://t.co/t5xoYCZwJJ""",#まな .#Rouen #Paris #Seaside,5044,4894,221,27416,48072,Sun Aug 22 11:09:01 +0000 2010,fr
Wed Sep 17 22:57:35 +0000 2014,b'RT @paperthinksuk: We should all have a #Rubine bike to go with our Rubine #bag.....#recycled #leather #london #paperthinks #scotland http:\\u2026',"Toronto, Ontario",17439,17217,1420,14443,22312,Tue Dec 17 18:28:22 +0000 2013,en
Wed Sep 17 22:57:35 +0000 2014,b'RT @RT_com: Day before #Scotland goes to the polls in #Indyref  http://t.co/oFpEd9BCLM http://t.co/Waly5Himgz',"Pýrgos, Elláda",68,96,0,12,16823,Thu May 16 01:18:30 +0000 2013,en
Wed Sep 17 22:57:34 +0000 2014,b'Voting opens at 7am in #Scotland as residents decide on their independence. No unusual weather forecast @CNN #Glasgow http://t.co/H5Cr6EOjv2',"Atlanta, GA",18226,1586,321,2474,5002,Tue Jun 07 16:38:22 +0000 2011,en
Wed Sep 17 22:57:34 +0000 2014,b'Day before #Scotland goes to the polls in #Indyref  http://t.co/7Byg96AITZ http://t.co/9RaPdmZIKd',Global,4824,3661,42,450,40834,Wed Jul 27 22:42:09 +0000 2011,en
Wed Sep 17 22:57:34 +0000 2014,b'I trust the people of #Scotland to make the right decision on #indyref because they are the real experts\\n\\n#democracy http://t.co/expeHmBMHj',#history & #heritage,46952,2468,1421,1264,183346,Wed Dec 22 12:05:25 +0000 2010,en
Wed Sep 17 22:57:30 +0000 2014,"b'@tomathyb A lot is Good, more is wrong. And Friday will be the day #Yes #No #Debates #Fun #Scotland #Swag'","Linlithgow, Scotland",384,253,2,1477,9068,Thu Nov 17 20:23:52 +0000 2011,en
Wed Sep 17 22:57:27 +0000 2014,"b""RT @Sara__Firth: 'And I'll be in #Scotland afore ye;'.... Crowd in #Glasgow roars along to\\nBonnie Banks O' Loch Lomond #Indyref http://t.co\\u2026""","Inverkeithing, Scotland",829,880,24,15445,47637,Fri Jul 31 12:54:08 +0000 2009,en
Wed Sep 17 22:57:25 +0000 2014,"b""Bagpipe #Babay center stage at The @Independent for #Scotland's independence #referendum.  How fitting, play it BB! http://t.co/Xgcwa3zFzr""","Oslo, Norway",6826,5621,235,123324,122018,Sun Sep 19 11:22:30 +0000 2010,en
Wed Sep 17 22:57:23 +0000 2014,"b""I hope whichever way the vote goes in #Scotland it's for the best.""",London,609,1750,15,15570,33541,Fri May 27 18:48:18 +0000 2011,en
Wed Sep 17 22:57:21 +0000 2014,"b""Getting quite emotional about tomorrow. That's the power of #Scotland (and vodka). #IndyRef""",,322,296,1,150,8693,Fri Feb 18 11:09:26 +0000 2011,en
Wed Sep 17 22:57:19 +0000 2014,b'@nicktilsley1 wrong! #Scotland has the lowest unemployment rate (6%) in the UK',London and Chelmsford,485,1402,7,66,474,Tue May 20 09:39:41 +0000 2014,en
Wed Sep 17 22:57:17 +0000 2014,b'\\u201c@labisiffre: Good Luck Scotland\\nWhichever way you vote\\n\\n#indyref #Scotland #politics #ukpolitics #VoteYes #ScotlandIndependence\\u201d',,277,644,1,834,2539,Tue Mar 10 19:02:03 +0000 2009,en
Wed Sep 17 22:57:16 +0000 2014,b'What and amazing atmosphere it was tonight. #indyref #voteyes #scotland @ George Square http://t.co/7eR4Pcgv0v',"Arbroath, Scotland",840,1937,17,4740,5146,Fri Apr 11 22:12:46 +0000 2014,en
Wed Sep 17 22:57:15 +0000 2014,"b'RT @jonnyperky: United we stand, divided we fall #Scotland BetterTogether #VoteNo http://t.co/7xAxGXG5RI'",🇬🇧 🇫🇷 🇩🇰 ,1412,1333,86,161114,71282,Tue Mar 05 00:26:20 +0000 2013,en
Wed Sep 17 22:57:13 +0000 2014,b'RT @KatieEwen123: My Twitter reach in the last week or two has just hit 1 million!! \\U0001f633\\U0001f633\\U0001f633 I hope they are all voting YES!! \\U0001f602\\U0001f602 #VoteYes #indyr\\u2026',Glasgow,1093,412,132,364489,295127,Thu Feb 05 22:06:11 +0000 2009,en
Wed Sep 17 22:57:13 +0000 2014,b'RT @TheWeeSessions: #voteyes #indyref #scotland #yesbecause @citizentommy http://t.co/RYhteA3QMw',"Renfrew, Scotland",1544,1274,57,692,41961,Fri Mar 09 17:27:08 +0000 2012,en
Wed Sep 17 22:57:12 +0000 2014,"b'After 2 years of campaigning, 700,000 people that live in #Scotland are ""undecided"". Obvious flaws in both sides of the argument'",,86,213,3,268,2157,Wed Sep 03 23:57:17 +0000 2014,en
Wed Sep 17 22:57:09 +0000 2014,b'RT @4lbeta: Bona sort #Esc\\xf2cia. Good luck #Scotland.',,132,201,1,172,1408,Fri Jan 28 10:28:24 +0000 2011,ca
Wed Sep 17 22:57:09 +0000 2014,"b""RT @glenoglaza1: Come On #Scotland Don't reduce our country #VoteNo #UK We need to stay stronger together. What unites us is far greater th\\u2026""",Dunblane,404,1812,16,260,6701,Tue Jan 27 15:09:43 +0000 2009,en
Wed Sep 17 22:57:06 +0000 2014,"b""Best of luck #Scotland. I don't know who to believe either.""",Norfolk,746,853,23,1064,5203,Fri Feb 06 17:31:37 +0000 2009,en
Wed Sep 17 22:57:06 +0000 2014,"b'Vote as you like #Scotland but appreciate that you have the choice in a peaceful, democratic land.'",Warrington,300,976,4,1780,7073,Wed Feb 04 22:06:57 +0000 2009,en
Wed Sep 17 22:57:02 +0000 2014,"b'#scotland The Brit in me says stay But the long line of Scots in my blood says do it, Finally be free from English rule. #ScotlandDecides'",London,674,117,19,823,3284,Thu Dec 10 22:50:19 +0000 2009,en
Wed Sep 17 22:57:02 +0000 2014,"b'Agreed, but 8 - RT @LouiseMensch: My prediction: NO, comfortably in the end. 6 point lead. #indyref #Scotland'","Alexandria, VA",67010,33889,982,106488,123872,Tue Dec 09 04:02:05 +0000 2008,en
Wed Sep 17 22:56:59 +0000 2014,b'Do it #Scotland...',Part-time→lover Full-time→hero,104,101,18,1,13744,Tue Nov 15 12:06:31 +0000 2011,en
Wed Sep 17 22:56:58 +0000 2014,b'#Sl\\xe1inte\\n\\nun brindis del catal\\xe1n @Urovoro por la Independencia de Escocia\\n\\n#Yes #Scotland \\n\\nhttp://t.co/CoRIbQlZ07',Sureste,744,226,22,2036,27954,Sat Jun 26 17:45:08 +0000 2010,es
Wed Sep 17 22:56:57 +0000 2014,"b""RT @FirebrandBeer: #glasgow we're coming from #Cornwall to spread our beer to the good people of #Scotland bottles available this week! htt\\u2026""",,853,1494,20,1293,807,Wed Oct 16 17:13:18 +0000 2013,en
Wed Sep 17 22:56:54 +0000 2014,"b""RT @Sara__Firth: 'And I'll be in #Scotland afore ye;'.... Crowd in #Glasgow roars along to\\nBonnie Banks O' Loch Lomond #Indyref http://t.co\\u2026""", Scotland,2552,3318,16,810,31962,Sun Aug 01 13:13:12 +0000 2010,en
Wed Sep 17 22:56:52 +0000 2014,"b'RT @jonnyperky: United we stand, divided we fall #Scotland BetterTogether #VoteNo http://t.co/7xAxGXG5RI'",UK,215,1810,5,6,804,Tue Sep 09 16:14:07 +0000 2014,en
Wed Sep 17 22:56:51 +0000 2014,b'RT @KatieEwen123: Nobody here again tonight. Absolutely hee haw happening... \\U0001f602\\U0001f602\\U0001f602 #CannyMove #VoteYes #indyref #yes #Scotland http://t.co/dC\\u2026',"Glasgow, Scotland",317,1464,6,643,1571,Mon Mar 03 18:48:12 +0000 2014,en
Wed Sep 17 22:56:51 +0000 2014,"b'RT @HistoryNeedsYou: Skye, pretty as a painting, in glorious #Scotland http://t.co/xkBf4tfbrK'",,1662,1244,50,76746,60829,Tue Feb 10 16:09:11 +0000 2009,en
