TweetTime,Tweet,Location,FollowersCount,FriendsCount,ListedCount,FavouritesCount,StatusesCount,UserCreatedAt,Lang
Wed Sep 17 22:42:52 +0000 2014,"b""Alex #Salmond didn't decide my vote, the #SNP didn't decide my vote, propaganda didn't decide my vote.\\u2026 http://t.co/0FHJWSwWOV""",North Ayrshire,651,419,15,2323,14424,Tue Feb 16 20:46:42 +0000 2010,en
Wed Sep 17 22:42:37 +0000 2014,b'@thnkngmnscrmpt The kids were still at school. #indyref #Salmond',The Anglosphere,14,15,1,51,2205,Fri Aug 15 14:51:44 +0000 2014,en-gb
Wed Sep 17 22:42:05 +0000 2014,"b""\\u201c@johnmiller1948: ' @bbcnickrobinson Why wont you admit your big lie and apologise to #Salmond #bbcnewsnight .\\u201d It sounds so easy.""",,311,965,4,1820,4029,Tue Aug 26 11:11:16 +0000 2014,en-gb
Wed Sep 17 22:41:55 +0000 2014,"b""RT @allanmiller49  #Salmond's secret plans to move into a castle. His arrogance knows no bounds. #VoteNo   http://t.co/n4pVNW9GHg""",,6357,6239,188,79069,212526,Thu Jun 02 14:10:07 +0000 2011,en
Wed Sep 17 22:33:13 +0000 2014,"b""@Enigma_2015 @MrPaulDH you can keep saying it but it absolutely isn't. Even #Salmond &amp; #Yes would agree with me. Like I said hon, research!""","In my bed, tweeting",7972,6697,180,80672,191393,Wed Jun 08 18:46:58 +0000 2011,en
Wed Sep 17 22:31:57 +0000 2014,"b""RT @johnmiller1948: ' @bbcnickrobinson Why wont you admit your big lie and apologise to #Salmond #bbcnewsnight .""","Glasgow, Scotland",1569,1816,55,68351,88452,Sat Sep 19 20:05:57 +0000 2009,en
Wed Sep 17 22:29:11 +0000 2014,"b""RT @Piers_Corbyn: #PiedPiper #Salmond: 'LastChance2makeHistory so DoIt!' HITLER GOT ELECTED BY SAME EMOTIVE METHOD #ScotlandDecides RT http\\u2026""",Ribble Valley,2674,4603,444,713,39377,Sat Dec 10 16:35:44 +0000 2011,en
Wed Sep 17 22:26:39 +0000 2014,b'@SarahTh1n Have you seen Alex Salmond? Have you seen Scottish people? No stranger to a fish supper in many cases. #indyref #Salmond',The Anglosphere,14,15,1,51,2205,Fri Aug 15 14:51:44 +0000 2014,en-gb
Wed Sep 17 22:24:52 +0000 2014,b'RT @LCDK_UK: #Salmond has a masterplan for Scotland. #VoteNo #BetterTogether http://t.co/wn0rlmSK0A',Surrey,1384,1936,38,418,20531,Wed Jan 09 17:59:23 +0000 2013,en
Wed Sep 17 22:24:33 +0000 2014,"b'RT @SaveBlighty: ""If you want a picture of the future, imagine a boot stamping on a human face - forever."" - 1984\\n#Salmond #VoteNo2014 http\\u2026'",United Kingdom,1131,883,29,74054,74271,Wed Nov 24 23:21:52 +0000 2010,en
Wed Sep 17 22:22:39 +0000 2014,"b""@Hargraver not entirely surprising when #dailyfail used 'childlessness' to attack #yes #Salmond &amp; #Sturgeon last week http://t.co/0kHEdO5XHl""",Mancs/London/Canada ,2291,3596,130,26481,32072,Sat May 12 15:11:04 +0000 2012,en
Wed Sep 17 22:22:01 +0000 2014,"b'My wife said ""If I was the kind of person who used the c word, I\'d call him a C"" #Salmond'",London-ish,2891,2746,152,43168,66158,Thu Mar 26 00:43:50 +0000 2009,en
Wed Sep 17 22:21:49 +0000 2014,"b""This Scottish Referendum has divided Scots like never before. It's a Terrible,Terrible Thing #Salmond and #Sturgeon have done to Scotland""",,6357,6239,188,79069,212526,Thu Jun 02 14:10:07 +0000 2011,en
Wed Sep 17 22:21:40 +0000 2014,"b'RT @bcomininvisible: Still falling for ""we can keep the \\xa3"" lie? This is why we absolutely CAN\'T http://t.co/t7WxSjtgfY #indyref Why is #Sal\\u2026'",United Kingdom,136,429,12,193,2198,Sat Aug 22 16:26:30 +0000 2009,en
